student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,study_efficiency,health_score,engagement_score
S1000,23,0,0.0,1.2,1.1,0,85.0,8.0,0,6,2,0,8,1,56.2,0.0,0.9333333333333332,0.9500000000000001
S1001,20,0,6.9,2.8,2.3,0,97.3,4.6,1,6,1,0,8,0,100.0,1.1311475409836067,0.6533333333333333,0.6576666666666666
S1002,21,1,1.4,3.1,1.3,0,94.8,8.0,2,1,1,2,1,0,34.3,0.25925925925925924,0.32222222222222224,0.6493333333333333
S1003,23,0,1.0,3.9,1.0,0,71.0,9.2,2,4,2,1,1,1,26.8,0.1694915254237288,0.5288888888888889,0.9033333333333333
S1004,19,0,5.0,4.4,0.5,0,90.9,4.9,0,3,2,1,1,0,66.4,0.847457627118644,0.6633333333333333,0.6363333333333333
S1005,24,1,7.2,1.3,0.0,0,82.9,7.4,0,1,2,0,4,0,100.0,3.130434782608696,0.6355555555555555,0.6096666666666667
S1006,21,0,5.6,1.5,1.4,1,85.8,6.5,1,2,2,2,4,0,89.8,1.435897435897436,0.49444444444444446,0.286
S1007,21,0,4.3,1.0,2.0,1,77.7,4.6,0,0,0,0,8,0,72.6,1.075,0.48666666666666664,0.259
S1008,23,0,4.4,2.2,1.7,0,100.0,7.1,1,3,0,1,1,0,78.9,0.8979591836734694,0.57,0.6666666666666666
S1009,18,0,4.8,3.1,1.3,0,95.4,7.5,1,5,0,1,10,1,100.0,0.888888888888889,0.6944444444444445,0.9846666666666667
S1010,19,0,4.6,3.7,0.8,0,77.6,5.8,0,1,3,1,3,0,63.3,0.8363636363636363,0.5822222222222222,0.592
S1011,23,1,3.9,2.4,2.5,0,71.7,7.9,0,2,0,0,1,0,74.4,0.6610169491525423,0.7077777777777777,0.5723333333333334
S1012,19,0,3.7,2.1,0.4,1,81.1,4.5,0,1,0,1,9,0,76.9,1.0571428571428572,0.5388888888888889,0.2703333333333333
S1013,19,0,3.4,2.7,2.7,0,89.3,4.7,0,4,0,1,10,0,75.8,0.53125,0.7122222222222222,0.631
S1014,24,1,2.4,1.5,0.7,0,87.4,6.7,2,6,0,0,9,0,78.9,0.7499999999999999,0.5566666666666666,0.6246666666666667
S1015,21,1,3.1,5.0,1.0,0,97.5,6.5,1,6,1,0,7,0,74.0,0.4428571428571429,0.7166666666666667,0.6583333333333333
S1016,20,1,1.0,0.6,0.2,0,92.9,5.6,2,3,1,2,8,1,55.2,0.5555555555555556,0.35333333333333333,0.9763333333333334
S1017,24,0,3.4,2.7,1.2,0,94.7,7.5,2,0,1,0,1,1,70.8,0.693877551020408,0.25,0.9823333333333334
S1018,24,2,2.0,4.9,2.9,1,88.3,7.1,1,2,1,1,5,0,43.9,0.22727272727272727,0.5144444444444444,0.29433333333333334
