student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
130448,22,female,biology,8.3,1.8,0.1,no,100.0,7.1,good,7,some college,high,7.5,yes,4.0,3,5.6,no,0,10.4,library,yes,high,8,10,5,kinesthetic,3.0,100
171822,27,male,computer science,7.702596166915306,1.1,1.5,yes,100.0,4.3,good,6,phd,medium,6.8,yes,4.0,4,2.8,no,4,12.0,cafe,no,low,5,9,6,kinesthetic,4.9,100
124115,24,female,biology,6.9,2.1,0.3,yes,100.0,7.4,fair,4,high school,medium,6.4,yes,4.0,7,5.7,no,4,9.6,library,yes,medium,7,4,10,reading,5.3,95
127690,23,other,computer science,6.803780362485323,4.3,1.5,no,100.0,8.3,poor,1,some college,high,7.3,no,4.0,4,5.1,no,2,14.0,quiet room,no,low,3,5,10,visual,2.6,99
108534,26,other,computer science,6.708657662325027,3.6,2.2,no,100.0,5.4,good,1,some college,high,6.1,no,4.0,2,6.7,no,2,13.3,cafe,yes,low,1,8,7,reading,3.6,98
151686,26,other,business,6.5,5.0,0.5,yes,100.0,5.7,good,4,some college,medium,8.5,no,4.0,4,6.4,no,3,12.9,co-learning group,no,low,3,2,10,kinesthetic,8.7,100
157871,16,other,business,6.2,3.5,3.8,yes,100.0,7.3,fair,2,some college,low,6.7,no,4.0,5,3.2,no,3,14.9,cafe,yes,low,5,6,9,auditory,6.2,100
102693,22,male,psychology,6.1,1.6,1.4,no,100.0,6.4,good,3,bachelor,high,10.0,yes,4.0,5,5.0,no,3,9.5,library,no,medium,8,5,10,auditory,1.6,97
159870,16,other,arts,5.8,3.1,3.3,no,100.0,7.1,good,7,some college,low,5.2,no,4.0,2,4.7,no,0,12.3,library,yes,medium,3,3,10,visual,3.7,97
138116,27,male,arts,5.6,2.2,0.1,yes,100.0,5.3,good,0,master,medium,9.7,no,4.0,2,4.2,no,5,9.4,dorm,yes,low,10,8,7,visual,7.1,94
107599,26,male,engineering,5.4,2.3,2.1,yes,100.0,7.6,poor,5,master,low,7.1,no,4.0,1,3.5,no,3,10.5,dorm,no,high,1,7,8,reading,1.7,100
161218,18,other,computer science,5.394845300214092,2.1,0.1,yes,100.0,7.9,fair,5,phd,high,7.6,yes,4.0,4,5.1,no,3,9.4,quiet room,no,medium,5,9,6,visual,1.3,100
158052,23,other,psychology,5.3,4.4,3.9,yes,100.0,7.1,fair,1,bachelor,medium,7.5,no,4.0,8,5.5,no,2,15.2,library,no,low,6,1,10,kinesthetic,4.5,100
130684,24,female,computer science,5.276173297050788,0.6,0.7,yes,100.0,9.0,good,3,phd,medium,9.6,no,4.0,7,3.7,no,4,6.6,library,yes,high,6,10,5,kinesthetic,8.4,97
133705,27,female,biology,4.9,2.8,1.7,yes,100.0,5.9,poor,6,master,medium,10.0,yes,4.0,3,1.5,no,4,10.2,co-learning group,no,medium,3,6,9,visual,8.7,100
117049,28,male,computer science,4.521747282431245,4.9,2.4,no,100.0,8.1,good,6,bachelor,medium,7.300000000000001,no,4.0,7,7.5,no,5,13.2,cafe,no,high,4,7,8,auditory,9.6,100
103537,27,other,computer science,4.25355308816226,1.2,2.5,yes,100.0,7.9,good,3,phd,high,7.4,yes,4.0,5,3.3,no,4,9.9,co-learning group,yes,low,7,5,10,auditory,6.5,100
107822,21,male,computer science,4.120769815861708,4.3,0.6,no,100.0,9.3,fair,7,high school,low,8.9,yes,4.0,2,1.8,no,1,10.0,quiet room,no,high,5,2,10,auditory,2.1,100
111940,26,other,business,4.0,2.3,2.0,yes,100.0,4.0,fair,2,phd,low,5.1,no,4.0,3,5.9,no,1,8.4,dorm,yes,high,9,4,10,visual,3.9,96
144711,16,other,biology,3.8,2.3,0.1,yes,100.0,6.8,good,7,phd,medium,6.3,no,4.0,4,3.9,no,5,7.4,co-learning group,yes,low,6,10,5,reading,6.8,100
126889,22,other,psychology,3.7,4.3,1.6,yes,100.0,8.0,poor,6,phd,low,6.6,yes,4.0,3,3.7,no,5,10.5,dorm,no,low,9,10,5,auditory,2.5,94
160359,26,female,computer science,3.22845166352488,1.7,2.6,yes,100.0,4.0,good,4,phd,high,6.1,yes,4.0,8,5.2,no,1,9.0,co-learning group,no,high,8,6,9,auditory,5.1,100
104221,22,male,engineering,3.2,2.9,1.0,no,100.0,8.5,good,2,some college,low,3.2,no,4.0,3,2.2,no,2,7.8,quiet room,yes,high,6,6,9,kinesthetic,5.3,100
138692,25,female,psychology,3.1,2.2,0.1,yes,100.0,5.9,fair,6,high school,low,5.6,no,4.0,2,3.9,no,4,7.3,quiet room,no,medium,2,7,8,auditory,9.7,100
173801,17,other,business,2.9,0.7,0.0,no,100.0,4.2,fair,3,phd,medium,8.0,yes,4.0,4,5.7,no,3,5.2,library,yes,medium,6,10,5,reading,9.4,100
103394,22,other,business,2.6,4.0,0.7,no,100.0,7.9,good,4,master,low,7.6,yes,4.0,2,3.5,no,4,7.3,co-learning group,yes,low,9,1,10,auditory,2.3,100
103570,28,male,biology,2.5,2.4,2.1,no,100.0,7.3,poor,5,high school,high,6.6,no,4.0,6,1.0,no,2,7.4,co-learning group,no,high,2,1,10,reading,9.8,100
135594,22,female,computer science,2.296677777691033,4.6,0.5,yes,100.0,7.5,good,7,high school,medium,1.8,no,4.0,1,4.8,no,0,8.8,library,no,high,7,10,5,reading,4.7,99
166584,28,other,computer science,1.737263107017267,3.3,2.9,yes,100.0,4.5,fair,1,some college,low,7.3,yes,4.0,6,3.5,no,5,9.7,co-learning group,yes,high,6,7,8,kinesthetic,1.3,100
124147,19,male,arts,1.6,4.1,2.5,yes,100.0,8.1,good,7,some college,high,10.0,yes,4.0,2,4.9,no,5,9.4,quiet room,yes,high,8,9,6,auditory,9.4,100
132976,25,female,biology,8.5,0.9,1.0,yes,100.0,7.6,poor,4,high school,low,3.9,yes,3.97,2,2.5,no,2,12.0,dorm,no,medium,10,9,6,reading,5.0,100
108897,25,female,psychology,3.7,4.8,3.9,yes,100.0,6.8,good,6,bachelor,medium,6.7,no,3.95,3,4.6,no,2,14.2,quiet room,no,medium,8,4,10,kinesthetic,4.0,93
127368,24,female,business,1.0,2.1,3.3,yes,100.0,8.5,poor,6,some college,high,5.9,yes,3.93,4,7.4,no,3,7.2,library,yes,low,6,3,10,auditory,4.7,93
132707,20,male,biology,3.1,0.7,3.7,yes,100.0,6.7,good,3,some college,medium,9.7,no,3.92,3,6.2,no,2,8.1,dorm,yes,low,2,10,5,auditory,1.8,98
