student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score,similarity_cluster,cluster_avg_gpa,id
130448,22,0,1,8.3,1.8,0.1,0,100.0,7.1,1,7,4,0,7.5,1,4.0,3,5.6,0,0,10.4,3,1,0,8,10,5,1,3.0,100,3,3.766713286713287,1
171822,27,1,3,7.702596166915306,1.1,1.5,1,100.0,4.3,1,6,3,2,6.8,1,4.0,4,2.8,0,4,12.0,0,0,1,5,9,6,1,4.9,100,3,3.766713286713287,2
124115,24,0,1,6.9,2.1,0.3,1,100.0,7.4,0,4,1,2,6.4,1,4.0,7,5.7,0,4,9.6,3,1,2,7,4,10,2,5.3,95,0,3.50992,3
127690,23,2,3,6.803780362485323,4.3,1.5,0,100.0,8.3,2,1,4,0,7.3,0,4.0,4,5.1,0,2,14.0,4,0,1,3,5,10,3,2.6,99,1,3.6455643044619426,4
108534,26,2,3,6.708657662325027,3.6,2.2,0,100.0,5.4,1,1,4,0,6.1,0,4.0,2,6.7,0,2,13.3,0,1,1,1,8,7,2,3.6,98,3,3.766713286713287,5
151686,26,2,2,6.5,5.0,0.5,1,100.0,5.7,1,4,4,2,8.5,0,4.0,4,6.4,0,3,12.9,1,0,1,3,2,10,1,8.7,100,0,3.50992,6
157871,16,2,2,6.2,3.5,3.8,1,100.0,7.3,0,2,4,1,6.7,0,4.0,5,3.2,0,3,14.9,0,1,1,5,6,9,0,6.2,100,1,3.6455643044619426,7
102693,22,1,5,6.1,1.6,1.4,0,100.0,6.4,1,3,0,0,10.0,1,4.0,5,5.0,0,3,9.5,3,0,2,8,5,10,0,1.6,97,1,3.6455643044619426,8
159870,16,2,0,5.8,3.1,3.3,0,100.0,7.1,1,7,4,1,5.2,0,4.0,2,4.7,0,0,12.3,3,1,2,3,3,10,3,3.7,97,1,3.6455643044619426,9
138116,27,1,0,5.6,2.2,0.1,1,100.0,5.3,1,0,2,2,9.7,0,4.0,2,4.2,0,5,9.4,2,1,1,10,8,7,3,7.1,94,3,3.766713286713287,10
107599,26,1,4,5.4,2.3,2.1,1,100.0,7.6,2,5,2,1,7.1,0,4.0,1,3.5,0,3,10.5,2,0,0,1,7,8,2,1.7,100,3,3.766713286713287,11
161218,18,2,3,5.394845300214092,2.1,0.1,1,100.0,7.9,0,5,3,0,7.6,1,4.0,4,5.1,0,3,9.4,4,0,2,5,9,6,3,1.3,100,4,3.754117647058824,12
158052,23,2,5,5.3,4.4,3.9,1,100.0,7.1,0,1,0,2,7.5,0,4.0,8,5.5,0,2,15.2,3,0,1,6,1,10,1,4.5,100,1,3.6455643044619426,13
130684,24,0,3,5.276173297050788,0.6,0.7,1,100.0,9.0,1,3,3,2,9.6,0,4.0,7,3.7,0,4,6.6,3,1,0,6,10,5,1,8.4,97,3,3.766713286713287,14
133705,27,0,1,4.9,2.8,1.7,1,100.0,5.9,2,6,2,2,10.0,1,4.0,3,1.5,0,4,10.2,1,0,2,3,6,9,3,8.7,100,3,3.766713286713287,15
117049,28,1,3,4.521747282431245,4.9,2.4,0,100.0,8.1,1,6,0,2,7.300000000000001,0,4.0,7,7.5,0,5,13.2,0,0,0,4,7,8,0,9.6,100,3,3.766713286713287,16
103537,27,2,3,4.25355308816226,1.2,2.5,1,100.0,7.9,1,3,3,0,7.4,1,4.0,5,3.3,0,4,9.9,1,1,1,7,5,10,0,6.5,100,0,3.50992,17
107822,21,1,3,4.120769815861708,4.3,0.6,0,100.0,9.3,0,7,1,1,8.9,1,4.0,2,1.8,0,1,10.0,4,0,0,5,2,10,0,2.1,100,1,3.6455643044619426,18
111940,26,2,2,4.0,2.3,2.0,1,100.0,4.0,0,2,3,1,5.1,0,4.0,3,5.9,0,1,8.4,2,1,0,9,4,10,3,3.9,96,0,3.50992,19
144711,16,2,1,3.8,2.3,0.1,1,100.0,6.8,1,7,3,2,6.3,0,4.0,4,3.9,0,5,7.4,1,1,1,6,10,5,2,6.8,100,4,3.754117647058824,20
126889,22,2,5,3.7,4.3,1.6,1,100.0,8.0,2,6,3,1,6.6,1,4.0,3,3.7,0,5,10.5,2,0,1,9,10,5,0,2.5,94,4,3.754117647058824,21
160359,26,0,3,3.22845166352488,1.7,2.6,1,100.0,4.0,1,4,3,0,6.1,1,4.0,8,5.2,0,1,9.0,1,0,0,8,6,9,0,5.1,100,0,3.50992,22
104221,22,1,4,3.2,2.9,1.0,0,100.0,8.5,1,2,4,1,3.2,0,4.0,3,2.2,0,2,7.8,4,1,0,6,6,9,1,5.3,100,2,3.406876876876877,23
138692,25,0,5,3.1,2.2,0.1,1,100.0,5.9,0,6,1,1,5.6,0,4.0,2,3.9,0,4,7.3,4,0,2,2,7,8,0,9.7,100,3,3.766713286713287,24
